airport,airport_name,city,state,lat,long,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3577,701,160.76,36.87,221.18,0,282.2,52,25
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1025,226,50.54,2.52,97.15,0,75.79,1,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,62,3,2,0,1,0,0,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,147,42,19.13,0,5.46,0,17.42,0,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,21267,2981,791.48,69.58,910.04,2,1207.9,4,28
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3427,622,167.18,0,111.64,0,343.18,10,11
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,372,85,14.18,0.89,37.7,0,32.23,1,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,628,173,42.4,1.66,93.89,0.3,34.75,34,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1087,293,60.97,8.57,75.84,0,147.61,2,3
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,517,73,21.1,0.92,28.6,0,22.38,1,4
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3619,811,209.71,11.84,229.39,2.05,358.01,13,9
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,937,278,83,8.15,93.26,0.2,93.4,13,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,88,6,5.55,0,0.45,0,0,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,142,52,15.23,0.43,8.85,0.62,26.87,1,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,20891,3231,803,112.74,1034.1,3.57,1277.59,14,48
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3719,755,184.24,0,157.68,0,413.08,24,13
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,360,91,23.37,1,41.69,0,24.94,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,614,195,38.35,3.37,103.03,1.93,48.32,35,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1294,380,81.53,9.67,72.93,0.93,214.95,9,4
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,498,91,22.29,2.17,42.31,0,24.23,4,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3494,1056,256.07,34.34,299.64,1.48,464.47,29,19
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3539,738,173.07,0,184.63,0,380.3,14,15
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,372,85,20.01,0.85,33.06,0,31.08,1,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,638,170,17.27,1.41,122.11,1.68,27.53,11,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1127,282,60.5,12.26,77.15,0.24,131.86,4,7
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,956,306,77.39,13,109.43,3.22,102.96,16,4
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,93,4,1.81,0,2.19,0,0,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,143,34,13.9,0,7.9,0,12.2,0,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,21308,3424,862.6,140.27,1211.56,6.26,1203.3,8,79
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,467,118,21.9,4.33,50.45,0,41.32,7,5
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3546,1077,267.25,54.24,310.27,2.02,443.23,18,19
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,952,245,69.83,1.59,82.64,1.83,89.11,10,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,86,4,1,0,1.35,0.65,1,1,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,147,34,16.33,0,6.17,0,11.5,3,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,21550,2205,592.22,84.98,670.23,2.97,854.59,67,13
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3095,404,97,0,94.24,0,212.77,8,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,318,66,12.61,0.18,18.44,0,34.78,5,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,637,140,26.22,1.85,88.17,1.45,22.31,13,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1094,224,45.57,7.5,61.72,0,109.21,10,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,471,89,23.92,5.03,36.85,0,23.2,18,2
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3551,877,237.28,24.15,246.65,1.71,367.21,66,5
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,889,113,45.14,3.4,30.68,0,33.78,39,4
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,51,6,2.13,0,3.87,0,0,1,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,140,25,12,0,3.15,0.19,9.66,4,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,19640,1659,527.66,60.43,548.23,2,520.68,578,63
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1971,173,57.82,0,28.24,0,86.94,101,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,270,28,9.46,0.86,10.84,0,6.84,4,2
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,614,81,21.84,2.85,37.18,0.29,18.84,80,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1297,161,47,3.12,38.84,1,71.04,50,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,437,46,11.35,0.85,19.5,0,14.3,16,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3334,381,120.38,6.56,102,0.28,151.78,204,4
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,950,137,50.67,0.79,48.5,1.17,35.87,3,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,52,4,1.53,0,1.58,0,0.89,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,147,18,7.76,0,3.21,0,7.03,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,20795,2074,609.12,48.75,618.59,1.49,796.05,4,9
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1558,273,78.23,0,37.97,0,156.8,4,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3500,442,152.62,3.45,98.27,5.78,181.87,6,3
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,238,58,17.08,0,15.71,0,25.21,3,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,633,59,16.73,0.35,24.64,0,17.28,1,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1483,305,75.42,4.41,74.58,1,149.58,4,2
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,488,60,18.09,1.3,19.17,0,21.45,3,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,889,91,34.24,0,20.88,0.34,35.54,1,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,55,6,3,0.05,0.95,0,2,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,146,16,10.16,0,2.62,0.35,2.88,0,1
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,19719,868,337.77,18.6,219.45,0.98,291.19,0,9
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1359,135,38.57,0,15.92,0,80.52,4,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,254,53,18.27,0,10.37,0,24.36,0,0
